Name,tenure,Econ_Index,Journal_rank,Gender,Ethnicity,Surname_Initials,Rank,BA_to_PHD,Surname
Elizabeth U. Cascio,1,Interdisciplinary,1,female,1,1,48,6,Cascio
Julieta Caunedo,1,Disciplinary,1,female,1,1,14,10,Caunedo
John Cawley,1,Disciplinary,0,male,1,1,14,6,Cawley
Mons Chan,0,Disciplinary,0,male,1,1,16,8,Chan
Arun G. Chandrasekhar,1,Disciplinary,1,male,6,1,4,5,Chandrasekhar
Anusha Chari,1,Interdisciplinary,0,female,6,1,34,10,Chari
Sylvain Chassang,1,Disciplinary,1,male,5,1,11,7,Chassang
Santanu Chatterjee,1,Disciplinary,0,male,6,1,46,7,Chatterjee
Yu-chin Chen,1,Disciplinary,1,female,5,1,36,9,Chen
Maggie Xiaoyang Chen,1,Disciplinary,0,female,5,1,41,6,Chen
Chaoran Chen,1,Disciplinary,1,male,5,1,42,7,Chen
Victor Chernozhukov,1,Interdisciplinary,1,male,1,1,2,3,Chernozhukov
Denis Chetverikov,1,Disciplinary,1,male,1,1,20,6,Chetverikov
Gabriel Chodorow-Reich,1,Disciplinary,1,male,1,1,1,8,Chodorow-Reich
Eunyi Chung,1,Interdisciplinary,0,female,5,1,28,7,Chung
Federico Ciliberto,1,Disciplinary,1,male,1,1,35,8,Ciliberto
Jeffrey P. Clemens,1,Disciplinary,1,male,1,1,33,6,Clemens
Gian Luca Clementi,1,Disciplinary,0,male,1,1,8,7,Clementi
Simona E. Cociuba,1,Disciplinary,1,female,1,1,44,6,Cociuba
Olivier Coibion,1,Disciplinary,1,male,1,1,30,8,Coibion
Allan Collard-Wexler,1,Disciplinary,1,male,1,1,19,7,Collard-Wexler
Jonathan Colmer,1,Interdisciplinary,1,male,1,1,35,6,Colmer
Christopher T. Conlon,1,Disciplinary,0,male,1,1,8,6,Conlon
Giorgio Coricelli,1,Interdisciplinary,0,male,1,1,15,7,Coricelli
Guido Matias Cortes,1,Disciplinary,0,male,1,1,42,7,Cortes
Arnaud Costinot,1,Disciplinary,1,male,1,1,2,5,Costinot
Ashley C. Craig,0,Disciplinary,0,male,1,1,13,9,Craig
Peter Cziraki,0,Disciplinary,0,male,1,1,16,6,Cziraki
Mian Dai,1,Interdisciplinary,0,female,5,1,50,5,Dai
Ettore Damiano,1,Disciplinary,1,male,4,1,16,6,Damiano
Aaditya Dar,0,Disciplinary,0,male,6,1,24,11,Dar
Kunal Dasgupta,0,Disciplinary,0,male,6,1,16,8,Dasgupta
Chetan Dave,1,Disciplinary,0,male,1,1,47,7,Dave
Joel M. David,0,Disciplinary,1,male,1,1,15,10,David
Joyee Deb,1,Disciplinary,1,female,6,1,8,6,Deb
Rahul Deb,1,Disciplinary,1,male,4,1,32,6,Deb
Ryan Decker,0,Disciplinary,0,male,1,1,24,5,Decker
Melissa Dell,1,Disciplinary,1,female,1,1,1,7,Dell
Michael J. Dickstein,1,Disciplinary,1,male,4,1,8,6,Dickstein
Brian Dillon,0,Disciplinary,0,male,1,1,36,11,Dillon
Rafael Dix-Carneiro,1,Disciplinary,1,male,1,1,19,8,Dix-Carneiro
Deniz Dizdar,1,Disciplinary,0,male,4,1,37,8,Dizdar
Antonio Doblas-Madrid,1,Disciplinary,0,male,1,1,23,7,Doblas-Madrid
Javier D. Donna,0,Disciplinary,1,male,1,1,40,4,Donna
Alessandro Dovis,1,Disciplinary,1,male,1,1,7,9,Dovis
Carter A. Doyle,1,Disciplinary,0,male,1,1,35,7,Doyle
Mauricio Drelichman,1,Disciplinary,0,male,4,1,22,7,Drelichman
Andrés Drenik,0,Disciplinary,1,male,2,1,6,8,Drenik
Teresa Harrison Drexel,1,Disciplinary,0,female,1,1,50,5,Drexel
Margarida Duarte,1,Disciplinary,1,female,1,1,16,8,Duarte
Esther Duflo,1,Disciplinary,1,female,1,1,2,5,Duflo
Piotr Dworczak,1,Disciplinary,1,male,1,1,9,6,Dworczak
Sebastian Dyrda,1,Disciplinary,1,male,1,1,16,6,Dyrda
Federico Echenique,1,Disciplinary,0,male,1,1,5,5,Echenique
Andrew Eckert,1,Disciplinary,0,male,1,1,47,6,Eckert
Heather Eckert,1,Disciplinary,0,female,1,1,47,6,Eckert
Eric V. Edmonds,1,Disciplinary,0,male,1,1,48,6,Edmonds
Liran Einav,1,Interdisciplinary,1,male,1,1,4,5,Einav
Todd E. Elder,1,Disciplinary,1,male,1,1,23,7,Elder
Shari Eli,1,Disciplinary,1,female,4,1,16,6,Eli
Amy E. Eremionkhale,0,Disciplinary,0,female,1,1,31,8,Eremionkhale
Katherine Eriksson,1,Interdisciplinary,1,female,1,1,45,9,Eriksson
Bilge Erten,1,Disciplinary,0,female,4,1,39,6,Erten
Berta Esteve-Volart,1,Disciplinary,1,female,1,1,42,9,Esteve-Volart
Benjamin Faber,1,Disciplinary,1,male,1,1,5,7,Faber
Itzik Fadlon,1,Disciplinary,1,male,4,1,33,8,Fadlon
Pablo Fajgelbaum,1,Disciplinary,1,male,4,1,20,7,Fajgelbaum
Ying Fan,1,Disciplinary,1,female,5,1,13,8,Fan
Leland E. Farmer,1,Disciplinary,1,male,1,1,35,6,Farmer
Jesús Fernández-Villaverde,1,Disciplinary,0,male,1,1,7,5,Fernández-Villaverde
Ivan Fernandez-Val,1,Disciplinary,1,male,1,1,12,7,Fernandez-Val
Domenico Ferraro,1,Disciplinary,0,male,1,1,18,9,Ferraro
James Feyrer,1,Disciplinary,1,male,1,1,48,11,Feyrer
Emel Filiz-Ozbay,1,Disciplinary,1,male,4,1,24,9,Filiz-Ozbay
Amy Finkelstein,1,Disciplinary,1,female,1,1,2,6,Finkelstein
Raymond Fisman,1,Disciplinary,1,male,4,1,32,5,Fisman
Eliza C. Forsythe,1,Disciplinary,0,female,1,1,28,6,Forsythe
Sebastian Fossati,1,Disciplinary,0,male,1,1,47,7,Fossati
Neville Francis,1,Disciplinary,0,male,3,1,34,8,Francis
Chao Fu,1,Disciplinary,1,female,5,1,38,8,Fu
Thomas Fujiwara,1,Disciplinary,1,male,5,1,11,8,Fujiwara
